"564434","Softlayer Technologies","S","","","","","","-80.09","98.6","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-6491","","","","","0","","1318498289","","","","","6","9","","","","1","","",""
"1384794","Pollstar Magazine","P","","","","","","-80.09","98.6","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S12-5750","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"5095681","NewsiT LLC","N","","","","","","-80.09","98.6","http://img.sxsw.com/2013/exhib_logos/NewsiT.jpg","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-5928","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"7440655","Nintendo of America Inc","N","","","","","","-80.09","98.6","http://img.sxsw.com/2013/exhib_logos/nintendo.jpg","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-7003","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"11499004","BD Riley's","B","204 E 6th St","Austin","Texas","","","30.2676762","-97.7413512","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","11499004","","","","","0","","0","","","","","0","20","","11499004","","","30.2676762","-97.7413512","1"
"12929781","ACL Live at the Moody Theater","A","310 W 2nd St","Austin","Texas","","","30.2651245","-97.7475671","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","12929781","","","","","0","","0","","","","","0","20","","12929781","","","30.2651245","-97.7475671","1"
"15672575","Social Passport","S","","","","","","-80.09","98.6","http://img.sxsw.com/2013/exhib_logos/social_passport.jpg","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-6476","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"30971423","Awesome Dudes Printing","A","","","","","","-80.09","98.6","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-6582","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"32362179","San Jacinto Ballroom","S","","Austin","Texas","","","-80.094929116426","86.595512586092","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","32362179","","","","","0","","1600428922","817797346","","","","0","20","","1020631136","3","","","","1"
"32922890","VICELAND","V","401 E Cesar Chavez St","Austin","Texas","","","30.2623879","-97.7410257","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","32922890","","","","","0","","0","","","","","0","20","","32922890","","","30.2623879","-97.7410257",""
"33698907","Room 415A","R","500 E 4th St","Austin","Texas","","","-80.094929116426","88.595512586092","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","33698907","","","","","0","","1741471460","229464655","","","","0","20","","350032151","3","","30.2653478","-97.738613","1"
"34873596","Radisson Town Lake","R","111 E Cesar Chavez","Austin","Texas","","","30.2630943","-97.744303","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","34873596","","","","","0","","0","","","","","0","20","","34873596","","","30.2630943","-97.744303","1"
"36326990","Argentine Pavilion","A","","","","","","-80.09","98.6","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-6395","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"38347728","Strait Music","S","","","","","","-80.09","98.6","http://img.sxsw.com/2013/exhib_logos/strait_music.jpg","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-5875","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"39535412","Shiftboard Inc","S","","","","","","-80.09","98.6","http://img.sxsw.com/2013/exhib_logos/shiftboard.jpg","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-5866","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"44997603","SAG-AFTRA New Media","S","","","","","","-80.09","98.6","http://img.sxsw.com/2013/exhib_logos/sagaftra.jpg","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-5892","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"45183715","Room 17B","R","500 E Cesar Chavez St","Austin","Texas","","","-80.094929116426","81.595512586092","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","45183715","","","","","0","","752040819","1318498289","","","","0","20","","839562921","3","","30.2637792","-97.7405461","1"
"45873758","CDW & Techweek","C","","","","","","-80.09","98.6","http://img.sxsw.com/2013/exhib_logos/talentguard.jpg","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-6765","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"46665237","Carver Museum","C","1165 Angelina St","Austin","Texas","","","30.2699267","-97.7244873","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","46665237","","","","","0","","0","","","","","0","20","","46665237","","","30.2699267","-97.7244873","1"
"47052387","Boss Construction","B","","","","","","-80.09","98.6","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-6372","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"48207513","Rural Rooster","R","","","","","","-80.09","98.6","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-6361","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"49915596","Social Compass","S","","","","","","-80.09","98.6","http://img.sxsw.com/2013/exhib_logos/socialcompass.jpg","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","exhibitor_S13-6538","","","","","0","","1318498289","","","","","6","9","","","","1","","","1"
"52254481","Empire","E","606 E 7th St","Austin","Texas","","","30.267492","-97.736048","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/s/ns/venue_placeholder_small.png","http://live.xomo.ca/data/stories/sxsw/sxsw2013/resources/l/ns/venue_placeholder_large.png","","","","","52254481","","","","","0","","0","","","","","0","20","","52254481","","","30.267492","-97.736048","1"
